method ConCaseRatio nmatch exptype beta ncov pfail bias bias.SE MSE MSE.se cover cover.se test.rej test.rej.se
CLR 1 10 continuous 1 0 0.0535 2.11657643617213 0.190099609825155 346.488618519478 59.4153484900269 0.966203607713042 0.0018574160307219 0.504768816089571 0.00513913399247532
CLR 4 10 continuous 1 0 7e-04 0.166608864710247 0.00986518024038144 1.00019775130276 0.434456643552052 0.940388077615523 0.00236849339075917 0.778955791158232 0.00415095506570461
CLR 1 20 continuous 1 0 0.0021 0.319247651368111 0.0306439338771234 9.4717667825229 4.8856669292436 0.94306014209947 0.00231971362413674 0.851295907134994 0.00356170726705581
CLR 4 20 continuous 1 0 0 0.06341938175578 0.00365144150439948 0.137338935557737 0.00327040211859778 0.9484 0.00221218082443547 0.9747 0.00157034741379097
CLR 1 30 continuous 1 0 2e-04 0.138387465424302 0.00591199212950035 0.368562745026486 0.0401909367905575 0.941194119411941 0.00235284552745126 0.961296129612961 0.00192907551611635
CLR 4 30 continuous 1 0 0 0.0391188892784641 0.0028317642106719 0.0817111540582581 0.00157333143399983 0.9435 0.00230884711490389 0.9974 0.000509238647394328
CLR 1 40 continuous 1 0 1e-04 0.0973936364888487 0.00421927639578743 0.187472848882404 0.00692167140735289 0.943594359435944 0.00230714904618961 0.990699069906991 0.000959965849749192
CLR 4 40 continuous 1 0 0 0.0301283020960299 0.00236839715697755 0.0569951562138896 0.00100874151162334 0.9497 0.0021856328602947 0.9999 9.99949998749882e-05
CLR 1 50 continuous 1 0 0 0.0731919317885165 0.00358721320173635 0.134025176327496 0.00401381525108965 0.9439 0.00230114732253283 0.9981 0.000435475602072035
CLR 4 50 continuous 1 0 0 0.0226107608482276 0.00207425095884026 0.0435321143915931 0.000741909476337197 0.9511 0.00215658966889856 1 0
CLR 1 10 binary0.05 1 0 0.0253 8.24823350923655 0.153745094501556 298.404958118679 1.79634310787205 0.9981 0.000441091151020708 0 0
CLR 4 10 binary0.05 1 0 0 -1.41049025891898 0.129849270852056 170.580953345466 1.86877507702858 0.9992 0.000282729552753161 0.0364 0.0018728331479339
CLR 1 20 binary0.05 1 0 0.0097 6.52059027281295 0.121377727268554 188.399834112364 1.88580951859253 0.9863 0.00116810372969885 0.0054 0.000736440590962343
CLR 4 20 binary0.05 1 0 0 -0.735873809067708 0.0736355744683287 54.7580663378517 1.31175855337926 0.986 0.00117490425141796 0.1516 0.00358632736932924
CLR 1 30 binary0.05 1 0 0.0027 4.96917856912746 0.099892884721773 124.199219356543 1.7323617095749 0.9767 0.0015105866590657 0.0311 0.00173822808617709
CLR 4 30 binary0.05 1 0 0 -0.348991983855653 0.0413913453161327 17.2525168321215 0.766246944461433 0.9624 0.00190226811990318 0.2546 0.00435636132569373
CLR 1 40 binary0.05 1 0 5e-04 3.64670706211853 0.0829014504761119 81.9837414043908 1.50479387914642 0.9711 0.00167567387682411 0.0922 0.00289380425245485
CLR 4 40 binary0.05 1 0 0 -0.168163743694012 0.0246633381640685 6.11047325839573 0.450816628036026 0.9509 0.00216076815045021 0.318 0.00465699473909945
CLR 1 50 binary0.05 1 0 3e-04 2.65541024538043 0.0696177762075799 55.4981646731005 1.28774925748294 0.971 0.0016783161274048 0.1623 0.00368781113742225
CLR 4 50 binary0.05 1 0 0 -0.0771203836734859 0.0137972842291405 1.90940770952276 0.232896622908578 0.9519 0.00213977545550929 0.3746 0.0048401946241861
CLR 1 10 binary0.1 1 0 0.0215 7.48139708354368 0.134334889791673 232.532022150152 2.06530054131757 0.9899 0.00101082490585228 9e-04 0.000303141446922233
CLR 4 10 binary0.1 1 0 1e-04 -0.32167196540541 0.0855404418403819 73.2605104214263 1.5397584652364 0.9912 0.000933993166101035 0.1026 0.0030345089923219
CLR 1 20 binary0.1 1 0 0.0027 4.38760987234287 0.0943454256029276 108.012484052561 1.75618009407128 0.9712 0.00167470250998252 0.0489 0.00215950697382504
CLR 4 20 binary0.1 1 0 0 -0.0348247353997454 0.0299664146373267 8.9801748383513 0.572935971238329 0.9597 0.00196661918021766 0.2755 0.0044676587828526
CLR 1 30 binary0.1 1 0 0 2.5678558878785 0.0697315837800351 55.2139591318583 1.34989724852761 0.9731 0.00161791192590944 0.1735 0.00378678953732578
CLR 4 30 binary0.1 1 0 0 -0.00488364706479285 0.0096488885280284 0.93094124722201 0.139951122660557 0.9476 0.00222832313635164 0.3856 0.00486736725550888
CLR 1 40 binary0.1 1 0 0 1.31842255231291 0.0497266976945027 26.463209917987 0.967373106827211 0.9773 0.00148945325539273 0.2915 0.00454453242919445
CLR 4 40 binary0.1 1 0 0 -0.0125046101877852 0.00652180537654039 0.42545328502529 0.0685163255944563 0.9453 0.00227393733422889 0.4776 0.00499497987983936
CLR 1 50 binary0.1 1 0 0 0.750554521998432 0.0372320138613495 14.4241744293534 0.721605700281519 0.9662 0.00180714028232454 0.3763 0.00484456716332842
CLR 4 50 binary0.1 1 0 0 -0.00817111637150684 0.00483122104179062 0.233450393992406 0.00382630300580954 0.9494 0.00219179469841498 0.5743 0.00494448692990486
CLR 1 10 binary0.2 1 0 0.0086 6.1121102796461 0.111666434869521 160.966981672388 2.07116208262433 0.976 0.00153711397974446 0.0088 0.000937988525127106
